hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
15/11/17 15,162,841,218,275,50,173,218,841
15/11/17 16,244,923,248,302,83,196,248,923
15/11/17 17,257,1355,357,461,61,228,357,1355
15/11/17 18,171,1158,375,498,46,214,375,1158
15/11/17 19,103,1027,419,516,46,192,419,1027
15/11/17 20,226,1219,330,358,45,200,330,1219
15/11/17 21,211,1120,276,412,32,172,276,1120
15/11/17 22,256,1119,308,323,28,123,308,1119
15/11/17 23,103,827,230,294,17,115,230,827
16/11/17 00,65,477,92,120,20,87,92,477
16/11/17 01,79,397,69,121,11,63,69,397
16/11/17 02,67,204,40,56,13,39,40,204
16/11/17 03,41,136,27,46,6,42,27,136
16/11/17 04,39,177,24,34,14,36,24,177
16/11/17 05,61,381,76,109,10,66,76,381
16/11/17 06,103,700,168,221,21,140,168,700
16/11/17 07,260,1028,276,364,55,215,276,1028
16/11/17 08,371,1032,271,321,48,225,271,1032
16/11/17 09,1032,1056,190,278,50,202,190,1056
16/11/17 10,1174,1173,221,315,77,165,221,1173
16/11/17 11,736,1005,185,205,93,262,185,1005
16/11/17 12,1225,1157,233,288,91,278,233,1157
16/11/17 13,1178,1093,199,283,83,241,199,1093
16/11/17 14,1226,1053,208,268,111,229,208,1053
16/11/17 15,223,844,182,344,57,226,182,844
16/11/17 16,257,1014,266,446,68,215,266,1014
16/11/17 17,168,1511,497,542,70,257,497,1511
16/11/17 18,205,1366,458,485,60,220,458,1366
16/11/17 19,163,1244,449,478,42,206,449,1244
16/11/17 20,306,1358,453,517,43,205,453,1358
16/11/17 21,297,1238,348,386,29,166,348,1238
16/11/17 22,263,1124,293,358,45,142,293,1124
16/11/17 23,269,894,253,351,25,158,253,894
