hour;detector1;detector2;detector3;detector4;detector5;detector6;
15/11/17 20;226;1219;330;358;45;200 
15/11/17 21;211;1120;276;412;32;172 
15/11/17 22;256;1119;308;323;28;123 
15/11/17 23;103;827;230;294;17;115 
16/11/17 00;65;477;92;120;20;87 
16/11/17 01;79;397;69;121;11;63 
16/11/17 02;67;204;40;56;13;39 
16/11/17 03;41;136;27;46;6;42 
16/11/17 04;39;177;24;34;14;36 
16/11/17 05;61;381;76;109;10;66 
16/11/17 06;103;700;168;221;21;140 
16/11/17 07;260;1028;276;364;55;215 
16/11/17 08;371;1032;271;321;48;225 
16/11/17 09;1032;1056;190;278;50;202 
16/11/17 10;1174;1173;221;315;77;165 
16/11/17 11;736;1005;185;205;93;262 
16/11/17 12;1225;1157;233;288;91;278 
16/11/17 13;1178;1093;199;283;83;241 
16/11/17 14;1226;1053;208;268;111;229 
16/11/17 15;223;844;182;344;57;226 
16/11/17 16;257;1014;266;446;68;215 
16/11/17 17;168;1511;497;542;70;257 
16/11/17 18;205;1366;458;485;60;220 
16/11/17 19;163;1244;449;478;42;206 
16/11/17 20;306;1358;453;517;43;205 
16/11/17 21;297;1238;348;386;29;166 
16/11/17 22;263;1124;293;358;45;142 
16/11/17 23;269;894;253;351;25;158
