hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
21/01/18 10,373,778,60,214,32,82,60,778
21/01/18 11,153,469,110,307,51,174,110,469
21/01/18 12,365,544,78,270,76,170,78,544
21/01/18 13,476,643,51,277,64,106,51,643
21/01/18 14,410,432,117,327,50,101,117,432
21/01/18 15,172,603,127,252,72,112,127,603
21/01/18 16,96,652,120,293,72,119,120,652
21/01/18 17,234,842,371,714,44,148,371,842
21/01/18 18,225,869,548,832,41,154,548,869
21/01/18 19,320,1086,438,719,45,167,438,1086
21/01/18 20,204,1311,398,484,29,141,398,1311
21/01/18 21,120,1149,315,344,32,124,315,1149
21/01/18 22,185,1084,287,298,23,105,287,1084
21/01/18 23,143,816,163,249,25,90,163,816
22/01/18 00,107,537,134,155,23,70,134,537
22/01/18 01,60,343,77,77,15,36,77,343
22/01/18 02,72,194,38,68,7,27,38,194
22/01/18 03,46,161,25,44,1,5,25,161
22/01/18 04,47,165,20,25,2,13,20,165
22/01/18 05,54,332,66,73,16,50,66,332
22/01/18 06,161,803,206,294,26,137,206,803
22/01/18 07,279,971,242,284,48,206,242,971
22/01/18 08,340,1051,232,234,29,145,232,1051
22/01/18 09,523,908,222,247,33,205,222,908
22/01/18 10,811,1017,226,257,40,100,226,1017
22/01/18 11,965,1106,113,101,91,59,113,1106
22/01/18 12,717,586,190,266,102,204,190,586
22/01/18 13,803,918,203,267,61,178,203,918
22/01/18 14,466,902,197,232,24,95,197,902
22/01/18 15,306,963,185,244,29,115,185,963
22/01/18 16,254,852,193,238,25,68,193,852
22/01/18 17,238,1254,311,371,64,200,311,1254
22/01/18 18,274,1232,361,377,60,172,361,1232
22/01/18 19,159,1087,365,366,39,156,365,1087
22/01/18 20,228,1109,281,318,32,142,281,1109
22/01/18 21,183,1055,223,261,30,112,223,1055
22/01/18 22,265,907,219,331,19,106,219,907
22/01/18 23,119,766,186,218,20,75,186,766
23/01/18 00,103,534,123,156,8,54,123,534
23/01/18 01,93,319,52,86,15,53,52,319
23/01/18 02,66,152,13,20,13,39,13,152
23/01/18 03,90,87,6,24,6,43,6,87
23/01/18 04,62,105,16,31,3,42,16,105
23/01/18 05,65,292,53,81,9,89,53,292
23/01/18 06,186,674,250,234,34,148,250,674
23/01/18 07,408,886,222,289,49,208,222,886
23/01/18 08,575,962,235,273,48,194,235,962
23/01/18 09,530,916,234,291,42,184,234,916
23/01/18 10,395,942,265,270,68,173,265,942
23/01/18 11,409,953,232,264,74,250,232,953
23/01/18 12,235,847,227,263,61,209,227,847
23/01/18 13,357,911,196,261,64,187,196,911
23/01/18 14,258,782,189,251,57,171,189,782
23/01/18 15,271,760,174,227,49,165,174,760
23/01/18 16,162,776,182,258,48,178,182,776
23/01/18 17,326,1149,289,356,50,269,289,1149
23/01/18 18,242,1171,316,429,53,233,316,1171
23/01/18 19,225,1047,290,335,35,223,290,1047
23/01/18 20,309,1080,292,351,30,212,292,1080
23/01/18 21,265,1087,225,271,34,201,225,1087
23/01/18 22,171,1061,243,304,18,192,243,1061
23/01/18 23,205,720,162,184,25,136,162,720
24/01/18 00,138,564,123,162,5,68,123,564
24/01/18 01,111,333,56,110,14,78,56,333
24/01/18 02,64,203,38,66,12,65,38,203
24/01/18 03,83,102,34,46,5,30,34,102
24/01/18 04,78,131,15,29,8,40,15,131
24/01/18 05,51,315,58,92,18,80,58,315
24/01/18 06,151,658,253,266,13,126,253,658
24/01/18 07,244,857,268,316,39,244,268,857
24/01/18 08,487,1012,175,268,72,138,175,1012
24/01/18 09,477,983,229,290,60,153,229,983
24/01/18 10,482,977,218,251,56,127,218,977
24/01/18 11,784,1099,131,153,91,85,131,1099
24/01/18 12,860,1149,65,72,79,44,65,1149
24/01/18 13,645,1039,147,157,83,158,147,1039
24/01/18 14,368,843,160,216,66,167,160,843
24/01/18 15,245,710,180,222,61,157,180,710
24/01/18 16,301,940,194,259,53,175,194,940
24/01/18 17,358,1278,385,393,64,269,385,1278
24/01/18 18,377,1311,401,496,59,238,401,1311
24/01/18 19,241,1128,320,444,44,209,320,1128
24/01/18 20,308,1163,269,360,32,211,269,1163
24/01/18 21,217,1067,252,275,36,204,252,1067
24/01/18 22,205,985,213,272,22,170,213,985
24/01/18 23,239,834,165,237,26,129,165,834
25/01/18 00,186,551,120,182,19,134,120,551
25/01/18 01,216,238,58,114,5,109,58,238
25/01/18 02,120,80,48,57,8,68,48,80
25/01/18 03,96,63,28,41,8,40,28,63
25/01/18 04,109,117,15,37,6,52,15,117
25/01/18 05,95,290,67,96,20,89,67,290
25/01/18 06,204,635,223,280,8,115,223,635
25/01/18 07,420,1037,268,329,39,191,268,1037
25/01/18 08,502,969,236,239,56,173,236,969
25/01/18 09,379,880,205,273,52,183,205,880
25/01/18 10,312,973,229,263,58,177,229,973
25/01/18 11,285,885,239,288,72,204,239,885
25/01/18 12,242,851,180,240,66,178,180,851
25/01/18 13,328,870,198,234,53,182,198,870
25/01/18 14,375,899,179,167,60,97,179,899
25/01/18 15,340,876,196,190,96,156,196,876
25/01/18 16,370,850,178,188,39,124,178,850
25/01/18 17,361,1260,342,435,70,237,342,1260
25/01/18 18,288,1305,329,434,53,273,329,1305
25/01/18 19,225,973,338,368,48,246,338,973
25/01/18 20,346,1074,275,308,30,260,275,1074
25/01/18 21,363,982,335,264,23,253,335,982
25/01/18 22,284,976,282,282,28,178,282,976
25/01/18 23,251,748,183,203,10,131,183,748
26/01/18 00,321,499,85,124,12,149,85,499
26/01/18 01,250,243,129,109,6,106,129,243
26/01/18 02,173,115,38,75,5,89,38,115
26/01/18 03,165,84,18,35,12,60,18,84
26/01/18 04,128,103,42,37,5,43,42,103
26/01/18 05,130,236,37,67,16,80,37,236
26/01/18 06,234,757,212,267,22,127,212,757
26/01/18 07,371,971,280,291,48,150,280,971
26/01/18 08,492,1009,263,308,80,211,263,1009
26/01/18 09,578,874,265,296,52,206,265,874
26/01/18 10,554,909,231,219,54,172,231,909
26/01/18 11,643,1032,205,226,104,170,205,1032
26/01/18 12,367,727,215,278,102,278,215,727
26/01/18 13,296,853,200,234,50,170,200,853
26/01/18 14,445,975,146,182,91,162,146,975
26/01/18 15,335,810,183,214,48,198,183,810
26/01/18 16,256,789,156,219,48,172,156,789
26/01/18 17,285,1184,356,396,56,169,356,1184
26/01/18 18,251,1252,367,413,35,167,367,1252
26/01/18 19,310,1256,498,378,36,142,498,1256
26/01/18 20,261,1147,391,365,25,141,391,1147
26/01/18 21,272,1145,307,320,28,131,307,1145
