hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
07/01/18 08,133,403,0,97,24,74,0,403
07/01/18 09,78,381,0,134,24,71,0,381
07/01/18 10,172,596,42,172,19,99,42,596
07/01/18 11,229,709,63,223,52,179,63,709
07/01/18 12,720,957,38,233,83,168,38,957
07/01/18 13,593,788,34,279,78,111,34,788
07/01/18 14,511,644,112,316,52,148,112,644
07/01/18 15,192,470,51,283,90,161,51,470
07/01/18 16,234,569,41,295,84,183,41,569
07/01/18 17,256,1141,452,585,66,185,452,1141
07/01/18 18,226,1100,548,628,47,158,548,1100
07/01/18 19,193,874,413,667,36,169,413,874
07/01/18 20,361,1275,339,590,25,153,339,1275
07/01/18 21,345,1299,325,366,25,149,325,1299
07/01/18 22,234,1218,269,306,30,119,269,1218
07/01/18 23,232,885,216,303,23,107,216,885
08/01/18 00,182,665,144,206,21,88,144,665
08/01/18 01,67,418,99,118,12,59,99,418
08/01/18 02,64,265,39,85,4,28,39,265
08/01/18 03,110,149,28,53,10,24,28,149
08/01/18 04,76,180,22,54,4,21,22,180
08/01/18 05,36,349,68,115,16,66,68,349
08/01/18 06,183,713,273,312,23,117,273,713
08/01/18 07,181,848,261,337,34,209,261,848
08/01/18 08,157,867,290,320,30,201,290,867
08/01/18 09,107,766,231,322,31,193,231,766
08/01/18 10,405,883,253,319,43,235,253,883
08/01/18 11,432,905,243,304,58,236,243,905
08/01/18 12,1054,1162,171,252,89,214,171,1162
08/01/18 13,1254,1114,200,229,67,211,200,1114
08/01/18 14,902,960,186,235,45,184,186,960
08/01/18 15,272,888,216,251,58,201,216,888
08/01/18 16,206,910,208,266,46,207,208,910
08/01/18 17,410,1783,501,657,84,261,501,1783
08/01/18 18,666,1645,439,682,150,239,439,1645
08/01/18 19,183,1111,320,423,47,204,320,1111
08/01/18 20,199,1048,305,389,33,133,305,1048
08/01/18 21,224,1026,301,386,30,166,301,1026
08/01/18 22,246,1006,335,363,33,118,335,1006
08/01/18 23,230,797,162,273,23,105,162,797
09/01/18 00,149,603,136,198,15,71,136,603
09/01/18 01,109,326,92,124,9,46,92,326
09/01/18 02,47,176,57,65,12,34,57,176
09/01/18 03,47,194,28,62,5,35,28,194
09/01/18 04,59,199,21,40,9,21,21,199
09/01/18 05,87,334,59,92,15,64,59,334
09/01/18 06,148,690,194,296,26,129,194,690
09/01/18 07,64,887,280,339,45,225,280,887
09/01/18 08,277,798,265,270,35,208,265,798
09/01/18 09,228,830,254,305,37,187,254,830
09/01/18 10,385,915,234,276,62,228,234,915
09/01/18 11,506,1006,238,295,80,206,238,1006
09/01/18 12,993,1251,182,268,109,207,182,1251
09/01/18 13,1227,1121,217,230,66,197,217,1121
09/01/18 14,188,816,178,276,52,192,178,816
09/01/18 15,217,896,200,256,86,195,200,896
09/01/18 16,266,852,207,215,84,194,207,852
09/01/18 17,344,1330,338,443,56,210,338,1330
09/01/18 18,288,1286,336,381,40,186,336,1286
09/01/18 19,181,1180,389,422,39,133,389,1180
09/01/18 20,247,1151,323,375,28,165,323,1151
09/01/18 21,263,1130,257,307,35,149,257,1130
09/01/18 22,251,1093,251,338,23,155,251,1093
09/01/18 23,167,848,298,256,21,133,298,848
10/01/18 00,111,660,196,171,17,105,196,660
10/01/18 01,71,420,85,121,8,79,85,420
10/01/18 02,110,188,24,53,4,48,24,188
10/01/18 03,129,101,17,37,7,26,17,101
10/01/18 04,114,141,29,40,9,25,29,141
10/01/18 05,47,301,68,104,23,69,68,301
10/01/18 06,12,578,240,329,18,129,240,578
10/01/18 07,199,928,257,299,39,214,257,928
10/01/18 08,185,873,264,330,35,175,264,873
10/01/18 09,183,948,224,235,34,194,224,948
10/01/18 10,432,936,249,327,50,236,249,936
10/01/18 11,506,969,154,206,75,122,154,969
10/01/18 12,1103,951,225,263,94,270,225,951
10/01/18 13,1088,924,210,307,65,234,210,924
10/01/18 14,219,794,193,262,60,194,193,794
10/01/18 15,173,755,218,276,61,186,218,755
10/01/18 16,287,937,210,353,55,216,210,937
10/01/18 17,286,1408,424,511,63,227,424,1408
10/01/18 18,262,1320,388,465,41,164,388,1320
10/01/18 19,213,1149,367,471,37,177,367,1149
10/01/18 20,135,977,347,552,31,171,347,977
10/01/18 21,207,1169,393,369,42,145,393,1169
10/01/18 22,170,1053,227,351,24,141,227,1053
10/01/18 23,167,856,230,294,19,101,230,856
11/01/18 00,124,685,216,199,20,86,216,685
11/01/18 01,79,415,107,112,9,62,107,415
11/01/18 02,63,191,60,78,7,51,60,191
11/01/18 03,62,148,37,54,2,30,37,148
11/01/18 04,65,195,19,41,1,28,19,195
11/01/18 05,44,326,129,109,11,56,129,326
11/01/18 06,121,485,195,268,28,145,195,485
11/01/18 07,326,983,260,332,42,274,260,983
11/01/18 08,351,896,269,294,41,221,269,896
11/01/18 09,210,904,231,276,40,214,231,904
11/01/18 10,302,956,277,298,63,196,277,956
11/01/18 11,368,972,203,245,62,170,203,972
11/01/18 12,528,969,235,312,78,183,235,969
11/01/18 13,1086,1024,214,297,88,235,214,1024
11/01/18 14,1151,1045,204,243,70,211,204,1045
11/01/18 15,340,898,228,313,75,185,228,898
11/01/18 16,573,1147,209,302,76,190,209,1147
11/01/18 17,282,1357,378,433,68,254,378,1357
11/01/18 18,303,1249,433,491,52,221,433,1249
11/01/18 19,195,1089,338,461,46,168,338,1089
11/01/18 20,369,1262,338,387,45,180,338,1262
11/01/18 21,258,1169,304,406,45,160,304,1169
11/01/18 22,268,1160,262,345,25,158,262,1160
11/01/18 23,171,887,184,270,23,115,184,887
12/01/18 00,131,754,202,199,11,98,202,754
12/01/18 01,94,517,112,135,12,102,112,517
12/01/18 02,49,235,57,82,9,72,57,235
12/01/18 03,47,205,45,86,10,58,45,205
12/01/18 04,45,202,38,49,11,48,38,202
12/01/18 05,16,3800,64,84,25,74,64,3800
12/01/18 06,122,3243,268,315,34,144,268,3243
12/01/18 07,0,0,284,329,55,234,284,0
12/01/18 08,0,0,256,301,43,219,256,0
12/01/18 09,122,436,210,263,31,206,210,436
12/01/18 10,516,943,219,238,72,212,219,943
12/01/18 11,644,969,205,258,99,207,205,969
12/01/18 12,977,886,200,250,127,275,200,886
12/01/18 13,1246,1121,219,239,83,227,219,1121
12/01/18 14,705,1005,180,254,79,220,180,1005
12/01/18 15,153,833,183,244,67,188,183,833
12/01/18 16,69,875,229,302,54,211,229,875
12/01/18 17,201,1337,338,430,56,184,338,1337
12/01/18 18,204,1307,488,461,56,237,488,1307
12/01/18 19,239,1275,470,433,35,177,470,1275
12/01/18 20,198,1188,364,452,46,195,364,1188
12/01/18 21,222,1339,438,499,32,169,438,1339
12/01/18 22,236,1173,333,507,40,168,333,1173
12/01/18 23,185,1045,250,332,22,111,250,1045
13/01/18 00,215,802,186,286,27,94,186,802
13/01/18 01,148,484,132,157,11,73,132,484
13/01/18 02,54,366,91,155,9,59,91,366
13/01/18 03,74,225,80,102,5,49,80,225
13/01/18 04,111,182,30,50,5,26,30,182
13/01/18 05,95,334,64,87,13,53,64,334
13/01/18 06,73,442,80,141,28,79,80,442
13/01/18 07,123,513,122,180,26,113,122,513
13/01/18 08,129,597,180,266,47,170,180,597
13/01/18 09,132,743,182,245,37,138,182,743
13/01/18 10,318,658,212,269,48,205,212,658
13/01/18 11,351,737,198,267,62,220,198,737
13/01/18 12,969,1000,203,248,104,229,203,1000
13/01/18 13,1048,1045,202,261,71,207,202,1045
13/01/18 14,883,921,178,303,43,177,178,921
13/01/18 15,200,769,181,246,53,146,181,769
13/01/18 16,103,748,198,307,35,162,198,748
13/01/18 17,276,1179,378,603,42,188,378,1179
13/01/18 18,375,1271,419,480,35,160,419,1271
13/01/18 19,278,1264,370,487,37,178,370,1264
13/01/18 20,377,1366,402,455,36,200,402,1366
13/01/18 21,315,1306,291,434,30,169,291,1306
13/01/18 22,236,1276,368,421,38,134,368,1276
13/01/18 23,334,1180,276,348,28,92,276,1180
14/01/18 00,291,967,221,283,22,100,221,967
14/01/18 01,197,663,160,222,17,96,160,663
14/01/18 02,199,370,102,128,12,110,102,370
14/01/18 03,132,234,51,93,13,112,51,234
14/01/18 04,165,138,40,64,3,54,40,138
14/01/18 05,107,240,32,59,18,76,32,240
14/01/18 06,138,417,58,81,13,77,58,417
14/01/18 07,107,356,90,106,23,47,90,356
14/01/18 08,55,346,56,86,18,45,56,346
14/01/18 09,68,263,84,145,25,74,84,263
14/01/18 10,88,338,120,238,29,95,120,338
14/01/18 11,113,485,161,332,46,183,161,485
14/01/18 12,174,504,188,327,76,201,188,504
14/01/18 13,173,685,183,261,47,131,183,685
14/01/18 14,87,522,162,279,41,93,162,522
14/01/18 15,96,619,183,277,55,122,183,619
14/01/18 16,156,438,299,363,60,148,299,438
14/01/18 17,191,1014,370,613,43,162,370,1014
14/01/18 18,187,745,405,572,20,194,405,745
14/01/18 19,113,1050,339,486,34,125,339,1050
14/01/18 20,307,1243,292,370,35,120,292,1243
14/01/18 21,221,1057,284,310,31,90,284,1057
14/01/18 22,221,943,247,317,21,100,247,943
14/01/18 23,170,687,194,201,17,64,194,687
15/01/18 00,152,613,118,184,9,116,118,613
15/01/18 01,146,278,62,112,17,76,62,278
15/01/18 02,151,83,35,46,9,74,35,83
15/01/18 03,106,41,26,42,6,57,26,41
15/01/18 04,165,81,37,35,5,56,37,81
15/01/18 05,110,314,106,70,13,85,106,314
15/01/18 06,260,776,211,248,33,174,211,776
15/01/18 07,278,973,248,298,53,227,248,973
15/01/18 08,356,946,263,276,60,167,263,946
15/01/18 09,226,803,244,316,34,208,244,803
15/01/18 10,417,931,245,280,56,252,245,931
15/01/18 11,374,960,257,303,57,233,257,960
15/01/18 12,375,979,170,215,72,192,170,979
15/01/18 13,293,966,202,213,54,226,202,966
15/01/18 14,361,859,169,171,77,148,169,859
15/01/18 15,388,1036,276,228,55,188,276,1036
15/01/18 16,342,971,196,236,61,206,196,971
15/01/18 17,321,1535,362,407,67,225,362,1535
15/01/18 18,163,1161,321,422,37,182,321,1161
15/01/18 19,185,1089,306,432,45,165,306,1089
15/01/18 20,178,1017,252,327,29,121,252,1017
15/01/18 21,253,949,269,263,35,123,269,949
15/01/18 22,242,955,330,314,22,90,330,955
15/01/18 23,126,856,197,239,16,98,197,856
16/01/18 00,93,518,132,283,20,111,132,518
16/01/18 01,56,343,45,91,6,71,45,343
16/01/18 02,56,197,37,56,5,36,37,197
16/01/18 03,50,138,28,42,5,23,28,138
16/01/18 04,708,136,15,40,4,18,15,136
